year,day,team1,team2,score1,score2,target
2998,79,310,269,263,270,False
2998,79,211,318,201,205,False
2998,79,343,193,359,344,True
2998,81,3,78,208,212,False
2998,81,86,75,394,263,True
2998,81,104,237,305,282,True
2998,81,118,126,340,294,True
2998,81,185,349,232,212,True
2998,81,301,204,263,352,False
2998,81,261,97,363,348,True
2998,81,6,272,251,259,False
2998,81,274,174,267,232,True
2998,81,275,192,294,274,True
2998,81,276,103,267,224,True
2998,81,278,99,356,340,True
2998,81,312,302,255,189,True
2998,81,317,158,410,309,True
2998,81,322,70,278,243,True
2998,81,117,336,243,286,False
2998,83,2,145,278,247,True
2998,83,4,279,336,247,True
2998,83,13,11,340,220,True
2998,83,12,16,228,251,False
2998,83,14,17,305,317,False
2998,83,90,22,328,344,False
2998,83,334,23,178,259,False
2998,83,38,165,274,259,True
2998,83,40,351,313,263,True
2998,83,341,58,270,305,False
2998,83,59,34,259,251,True
2998,83,60,219,348,255,True
2998,83,69,68,236,317,False
2998,83,24,77,259,317,False
2998,83,118,78,313,321,False
2998,83,82,362,417,402,True
2998,83,193,91,309,336,False
2998,83,98,96,170,267,False
2998,83,101,233,321,278,True
2998,83,254,102,228,348,False
2998,83,97,103,251,274,False
2998,83,171,107,143,305,False
2998,83,108,236,270,208,True
2998,83,146,110,309,313,False
2998,83,120,283,274,205,True
2998,83,122,43,313,290,True
2998,83,126,3,359,336,True
2998,83,320,128,274,325,False
2998,83,183,129,197,236,False
2998,83,285,131,297,317,False
2998,83,201,133,332,387,False
2998,83,141,64,387,340,True
2998,83,143,149,290,448,False
2998,83,106,151,344,387,False
2998,83,156,268,356,267,True
2998,83,161,157,356,359,False
2998,83,160,221,340,282,True
2998,83,164,19,267,197,True
2998,83,166,26,344,205,True
2998,83,168,306,321,294,True
2998,83,175,93,290,255,True
2998,83,176,249,336,270,True
2998,83,53,177,344,348,False
2998,83,180,299,348,325,True
2998,83,181,138,383,294,True
2998,83,185,57,286,201,True
2998,83,186,281,398,352,True
2998,83,287,199,313,328,False
2998,83,204,86,394,259,True
2998,83,262,205,321,336,False
2998,83,207,298,414,228,True
2998,83,211,202,267,263,True
2998,83,210,218,274,290,False
2998,83,188,228,313,557,False
